Probabilidade de Cruzamento,Elites,Probabilidade de Mutacao,Geracoes,Tamanho da Populacao,Individuo de Melhor Aptidao,Aptidao Media
1.00,0,0.05,100,50,13144940.00,11642013.78
0.80,0,0.05,100,50,13156273.00,8261467.44
0.60,0,0.05,100,50,13155927.00,8857003.34
1.00,0,0.10,100,50,13039530.00,8236578.16
0.80,0,0.10,100,50,12988262.00,7704163.74
0.60,0,0.10,100,50,12920767.00,7498910.70
1.00,2,0.01,100,50,13371691.00,12973088.42
0.80,2,0.01,100,50,13307952.00,11062615.10
0.60,2,0.01,100,50,13323066.00,12011822.06
1.00,2,0.05,100,50,13390551.00,10983706.84
0.80,2,0.05,100,50,13343967.00,11896773.12
0.60,2,0.05,100,50,13509264.00,9398686.80
1.00,2,0.10,100,50,13389014.00,11022551.34
0.80,2,0.10,100,50,13340623.00,11145137.82
0.60,2,0.10,100,50,13270708.00,7349938.08
1.00,2,0.01,100,50,13252911.00,11103822.14
0.80,2,0.01,100,50,13270504.00,11303550.94
0.60,2,0.01,100,50,13234095.00,11956990.28
1.00,2,0.05,100,50,13368288.00,11370372.54
0.80,2,0.05,100,50,13246781.00,11657623.64
0.60,2,0.05,100,50,13335373.00,11190823.64
1.00,2,0.10,100,50,13458701.00,9011025.72
0.80,2,0.10,100,50,13374699.00,11510176.02
0.60,2,0.10,100,50,13494864.00,7719864.52
1.00,6,0.01,100,50,13285817.00,12164193.78
0.80,6,0.01,100,50,13327074.00,12770701.90
0.60,6,0.01,100,50,13235076.00,10570439.02
1.00,6,0.05,100,50,13308281.00,12730307.28
0.80,6,0.05,100,50,13188702.00,10996277.12
0.60,6,0.05,100,50,13181598.00,11049830.80
1.00,6,0.10,100,50,13430762.00,11513989.18
0.80,6,0.10,100,50,13339543.00,11512016.96
0.60,6,0.10,100,50,13319593.00,9756818.18
1.00,10,0.01,100,50,13329121.00,13062538.58
0.80,10,0.01,100,50,13230790.00,12370503.60
0.60,10,0.01,100,50,13346673.00,11351497.78
1.00,10,0.05,100,50,13346016.00,12880368.70
0.80,10,0.05,100,50,13228294.00,11466771.94
0.60,10,0.05,100,50,13250939.00,11341559.38
1.00,10,0.10,100,50,13294953.00,11685307.72
0.80,10,0.10,100,50,13425442.00,10671172.54
0.60,10,0.10,100,50,13217628.00,10013535.58
1.00,0,0.01,200,50,12910707.00,12547490.90
0.80,0,0.01,200,50,13063902.00,11757511.80
0.60,0,0.01,200,50,13193995.00,8080272.70
